Biological Process							
GO.ID	Term	Annotated	Significant	Expected	Rank in classicFisher	classicFisher	elimFisher
GO:0045211	postsynaptic membrane	104	59	47.92	12	0.0182	0.0182
GO:0031225	anchored component of membrane	30	20	13.82	13	0.0184	0.0184
GO:0000228	nuclear chromosome	212	116	97.68	3	0.0065	0.019
GO:0044454	nuclear chromosome part	194	107	89.39	2	0.0063	0.0195
GO:0000790	nuclear chromatin	130	72	59.9	14	0.0199	0.0199
GO:0002178	palmitoyltransferase complex	5	5	2.3	15	0.0207	0.0207
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	8	7	3.69	16	0.021	0.021
GO:0097060	synaptic membrane	129	71	59.44	17	0.0245	0.0245
GO:0005802	trans-Golgi network	78	45	35.94	18	0.0255	0.0255
GO:0001741	XY body	10	8	4.61	19	0.032	0.032
GO:0000178	exosome (RNase complex)	12	9	5.53	20	0.0418	0.0418
GO:0002116	semaphorin receptor complex	4	4	1.84	21	0.045	0.045
GO:0017059	serine C-palmitoyltransferase complex	4	4	1.84	22	0.045	0.045
GO:0031211	endoplasmic reticulum palmitoyltransfera...	4	4	1.84	23	0.045	0.045
GO:0043256	laminin complex	4	4	1.84	24	0.045	0.045
GO:0070578	RISC-loading complex	4	4	1.84	25	0.045	0.045
GO:0097361	CIA complex	4	4	1.84	26	0.045	0.045

Molecular Function							
GO.ID	Term	Annotated	Significant	Expected	Rank in classicFisher	classicFisher	elimFisher
GO:0031490	chromatin DNA binding	29	23	13.37	1	0.00026	0.00026
GO:0019838	growth factor binding	49	33	22.59	2	0.00213	0.00213
GO:0004896	cytokine receptor activity	21	16	9.68	6	0.00498	0.00498
GO:0004970	ionotropic glutamate receptor activity	10	9	4.61	7	0.00548	0.00548
GO:0051721	protein phosphatase 2A binding	23	17	10.6	8	0.0064	0.0064
GO:0046625	sphingolipid binding	6	6	2.77	9	0.00958	0.00958
GO:0004812	aminoacyl-tRNA ligase activity	35	23	16.13	11	0.01515	0.01515
GO:0016875	ligase activity, forming carbon-oxygen b...	35	23	16.13	12	0.01515	0.01515
GO:0016876	ligase activity, forming aminoacyl-tRNA ...	35	23	16.13	13	0.01515	0.01515
GO:0031418	L-ascorbic acid binding	11	9	5.07	15	0.01773	0.01773
GO:0043548	phosphatidylinositol 3-kinase binding	16	12	7.38	16	0.01854	0.01854
GO:0052743	inositol tetrakisphosphate phosphatase a...	5	5	2.3	17	0.02079	0.02079
GO:0005231	excitatory extracellular ligand-gated io...	18	13	8.3	18	0.02284	0.02284
GO:0005234	extracellular-glutamate-gated ion channe...	10	8	4.61	20	0.03208	0.03208
GO:0003713	transcription coactivator activity	159	85	73.3	22	0.03606	0.03606
GO:0005520	insulin-like growth factor binding	7	6	3.23	23	0.04057	0.04057
GO:0035258	steroid hormone receptor binding	45	27	20.74	24	0.04228	0.04228
GO:0001221	transcription cofactor binding	4	4	1.84	25	0.04512	0.04512
GO:0004181	metallocarboxypeptidase activity	4	4	1.84	26	0.04512	0.04512
GO:0004438	phosphatidylinositol-3-phosphatase activ...	4	4	1.84	27	0.04512	0.04512
GO:0004758	serine C-palmitoyltransferase activity	4	4	1.84	28	0.04512	0.04512
GO:0004849	uridine kinase activity	4	4	1.84	29	0.04512	0.04512
GO:0004972	N-methyl-D-aspartate selective glutamate...	4	4	1.84	30	0.04512	0.04512
GO:0008430	selenium binding	4	4	1.84	31	0.04512	0.04512
GO:0016454	C-palmitoyltransferase activity	4	4	1.84	32	0.04512	0.04512
GO:0016717	oxidoreductase activity, acting on paire...	4	4	1.84	33	0.04512	0.04512
GO:0035925	mRNA 3'-UTR AU-rich region binding	4	4	1.84	34	0.04512	0.04512
GO:0036312	phosphatidylinositol 3-kinase regulatory...	4	4	1.84	35	0.04512	0.04512
GO:0052744	phosphatidylinositol monophosphate phosp...	4	4	1.84	36	0.04512	0.04512
GO:0097001	ceramide binding	4	4	1.84	37	0.04512	0.04512
GO:1990247	N6-methyladenosine-containing RNA bindin...	4	4	1.84	38	0.04512	0.04512
GO:0000987	core promoter proximal region sequence-s...	122	66	56.24	40	0.04524	0.04524
GO:0001159	core promoter proximal region DNA bindin...	122	66	56.24	41	0.04524	0.04524
GO:0000978	RNA polymerase II core promoter proximal...	116	63	53.47	42	0.04536	0.04536
GO:0000977	RNA polymerase II regulatory region sequ...	181	95	83.44	43	0.04776	0.04776
